file_name;gender;genre;novel;threshold_1815;nationality;epistolary
Burney_Frances_Cecilia_1782;female;novel_of_manners;novel;before_1815;English;non_epistolary
Burney_Frances_The-Wanderer_1814;female;historical;novel;before_1815;English;non_epistolary
Butler_Samuel_Erewhon_1872;male;picaresque_satire;novel;after_1815;English;non_epistolary
Butler_Samuel_The-Way-of-all-Flesh_1903;male;life_writing;novel;after_1815;English;non_epistolary
Caird_Mona_The-Daughters-of-Danaus_1894;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Carleton_William_Fardorougha-the-Miser_1839;male;NA;novel;after_1815;non_English;non_epistolary
Carleton_William_The-Black-Prophet_1847;male;NA;novel;after_1815;non_English;non_epistolary
Carleton_William_The-Emigrants-of-Ahadarra_1847;male;NA;novel;after_1815;non_English;non_epistolary
Carleton_William_Valentine-M-Clutchy_1845;male;NA;novel;after_1815;non_English;non_epistolary
Carlyle_Thomas_Sartor-Resartus_1834;male;NA;novel;after_1815;non_English;non_epistolary
Carroll_Lewis_Alice-in-Wonderland_1865;male;fantasy;novel;after_1815;English;non_epistolary
Carroll_Lewis_Through-the-Looking-Glass_1871;male;fantasy;novel;after_1815;English;non_epistolary
Chesterton_G-K_The-Man-Who-Was-Thursday_1908;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Childers_Erskine_The-Riddle-of-the-Sand_1903;male;adventure;novel;after_1815;non_English;non_epistolary
Cholmondeley_Mary_Red-Pottage_1899;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Collins_Wilkie_Armadale_1864;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Collins_Wilkie_Man-and-Wife_1870;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Collins_Wilkie_No-Name_1862;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Collins_Wilkie_The-Law-and-the-Lady_1875;male;detective;non_novel;after_1815;English;non_epistolary
Collins_Wilkie_The-Moonstone_1868;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Collins_Wilkie_The-Woman-in-White_1859;male;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Conrad_Joseph_Almayers-Folly_1895;male;NA;novel;after_1815;English;non_epistolary
Conrad_Joseph_Heart-of-Darkness_1899;male;NA;non_novel;after_1815;English;non_epistolary
Conrad_Joseph_Lord-Jim_1899;male;NA;novel;after_1815;English;non_epistolary
Conrad_Joseph_Nostromo_1904;male;NA;novel;after_1815;English;non_epistolary
Conrad_Joseph_The-Nigger-of-the-Narcissus_1897;male;NA;non_novel;after_1815;English;non_epistolary
Conrad_Joseph_The-Secret-Agent_1907;male;NA;novel;after_1815;English;non_epistolary
Conrad_Joseph_The-Secret-Sharer_1895;male;NA;non_novel;after_1815;English;non_epistolary
Conrad_Joseph_Typhoon_1903;male;NA;non_novel;after_1815;English;non_epistolary
Conrad_Joseph_Under-Western-Eyes_1911;male;NA;novel;after_1815;English;non_epistolary
Corelli_Marie_The-Sorrows-of-Satan_1895;female;sensational_gothic_mystery;novel;after_1815;English;non_epistolary
Craik_Dinah_John-Halifax_1856;female;NA;novel;after_1815;English;non_epistolary
Crockett_S-R_Cleg-Kelly_1896;male;domestic;novel;after_1815;non_English;non_epistolary
Davys_Mary_The-Reformd-Coquet_1723;female;NA;novel;before_1815;non_English;non_epistolary
Defoe_Daniel_Journal-of-the-Plague-Year_1722;male;historical;novel;before_1815;English;non_epistolary
Defoe_Daniel_Moll-Flanders_1722;male;life_writing;novel;before_1815;English;non_epistolary
Defoe_Daniel_Robinson-Crusoe_1719;male;life_writing;novel;before_1815;English;non_epistolary
Defoe_Daniel_The-Fortunate-Mistress_1724;male;life_writing;novel;before_1815;English;non_epistolary
Dickens_Charles_A-Christmas-Carol_1843;male;NA;non_novel;after_1815;English;non_epistolary
Dickens_Charles_A-Tale-of-Two-Cities_1859;male;historical;novel;after_1815;English;non_epistolary
Dickens_Charles_Barnaby-Rudge_1841;male;historical;novel;after_1815;English;non_epistolary
Dickens_Charles_Bleak-House_1852;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_Dombey-and-Son_1846;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_Edwin-Drood_1870;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_Great-Expectations_1860;male;bildungsroman;novel;after_1815;English;non_epistolary
Dickens_Charles_Hard-Times_1854;male;industrial;novel;after_1815;English;non_epistolary
Dickens_Charles_Little-Dorrit_1855;male;social;novel;after_1815;English;non_epistolary
Dickens_Charles_Martin-Chuzzlewit_1843;male;picaresque_satire;novel;after_1815;English;non_epistolary
Dickens_Charles_Nicholas-Nickleby_1838;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_Oliver-Twist_1837;male;industrial;novel;after_1815;English;non_epistolary
Dickens_Charles_Our-Mutual-Friend_1864;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_Sketches-by-Boz_1833;male;NA;non_novel;after_1815;English;non_epistolary
Dickens_Charles_The-Old-Curiosity-Shop_1840;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_The-Pickwick-Papers_1836;male;NA;novel;after_1815;English;non_epistolary
Dickens_Charles_David-Copperfield_1849;male;bildungsroman;novel;after_1815;English;non_epistolary
Disraeli_Benjamin_Coningsby_1843;male;social;novel;after_1815;English;non_epistolary
Disraeli_Benjamin_Sybil_1845;male;social;novel;after_1815;English;non_epistolary
Disraeli_Benjamin_Tancred_1847;male;social;novel;after_1815;English;non_epistolary
Disraeli_Benjamin_Vivian-Grey_1826;male;social;novel;after_1815;English;non_epistolary
Doyle_Arthur-Conan_A-Case-of-Identity_1891;male;detective;non_novel;after_1815;non_English;non_epistolary
Doyle_Arthur-Conan_A-Scandal-in-Bohemia_1891;male;detective;non_novel;after_1815;non_English;non_epistolary
Doyle_Arthur-Conan_A-Study-in-Scarlet_1887;male;detective;novel;after_1815;non_English;non_epistolary
Doyle_Arthur-Conan_Micah-Clarke_1889;male;historical;novel;after_1815;non_English;non_epistolary
